,Gender,Age,Occupation,Zip-code,Gender_enc,Age_enc,Occupation_enc,Zip-code_enc
1,F,1,10,48067,0,0,10,1588
2,M,56,16,70072,1,6,16,2248
3,M,25,15,55117,1,2,15,1863
4,M,45,7,02460,1,4,7,140
5,M,25,20,55455,1,2,20,1938
6,F,50,9,55117,0,5,9,1863
7,M,35,1,06810,1,3,1,294
8,M,25,12,11413,1,2,12,488
9,M,25,17,61614,1,2,17,2106
10,F,35,1,95370,0,3,1,3188
11,F,25,1,04093,0,2,1,224
12,M,25,12,32793,1,2,12,1165
13,M,45,1,93304,1,4,1,3009
14,M,35,0,60126,1,3,0,2026
15,M,25,7,22903,1,2,7,904
16,F,35,0,20670,0,3,0,801
17,M,50,1,95350,1,5,1,3187
18,F,18,3,95825,0,1,3,3227
19,M,1,10,48073,1,0,10,1591
20,M,25,14,55113,1,2,14,1860
21,M,18,16,99353,1,1,16,3429
22,M,18,15,53706,1,1,15,1792
23,M,35,0,90049,1,3,0,2764
24,F,25,7,10023,0,2,7,416
25,M,18,4,01609,1,1,4,42
26,M,25,7,23112,1,2,7,913
27,M,25,11,19130,1,2,11,731
28,F,25,1,14607,0,2,1,615
29,M,35,7,33407,1,3,7,1213
30,F,35,7,19143,0,3,7,734
31,M,56,7,06840,1,6,7,296
32,F,25,0,19355,0,2,0,746
33,M,45,3,55421,1,4,3,1915
34,F,18,0,02135,0,1,0,101
35,M,45,1,02482,1,4,1,149
36,M,25,3,94123,1,2,3,3068
37,F,25,9,66212,0,2,9,2212
38,F,18,4,02215,0,1,4,120
39,M,18,4,61820,1,1,4,2112
40,M,45,0,10543,1,4,0,441
41,F,18,4,15116,0,1,4,637
42,M,25,8,24502,1,2,8,947
43,M,25,12,60614,1,2,12,2078
44,M,45,17,98052,1,4,17,3343
45,F,45,16,94110,0,4,16,3057
46,M,18,19,75602,1,1,19,2361
47,M,18,4,94305,1,1,4,3077
48,M,25,4,92107,1,2,4,2916
49,M,18,12,77084,1,1,12,2416
50,F,25,2,98133,0,2,2,3369
51,F,1,10,10562,0,0,10,443
52,M,18,4,72212,1,1,4,2278
53,M,25,0,96931,1,2,0,3264
54,M,50,1,56723,1,5,1,1966
55,F,35,12,55303,0,3,12,1876
56,M,35,20,60440,1,3,20,2047
57,M,18,19,30350,1,1,19,1103
58,M,25,2,30303,1,2,2,1086
59,F,50,1,55413,0,5,1,1908
60,M,50,1,72118,1,5,1,2275
61,M,25,17,95122,1,2,17,3171
62,F,35,3,98105,0,3,3,3353
63,M,18,4,54902,1,1,4,1824
64,M,18,1,53706,1,1,1,1792
65,M,35,12,55803,1,3,12,1943
66,M,25,18,57706,1,2,18,1972
67,F,50,5,60181,0,5,5,2034
68,M,18,4,53706,1,1,4,1792
69,F,25,1,02143,0,2,1,108
70,M,18,4,53703,1,1,4,1789
71,M,25,14,95008,1,2,14,3153
72,F,45,0,55122,0,4,0,1868
73,M,18,4,53706,1,1,4,1792
74,M,35,14,94530,1,3,14,3096
75,F,1,10,01748,0,0,10,50
76,M,35,7,55413,1,3,7,1908
77,M,18,4,15321,1,1,4,651
78,F,45,1,98029,0,4,1,3334
79,F,45,0,98103,0,4,0,3352
80,M,56,1,49327,1,6,1,1686
81,F,25,0,60640,0,2,0,2087
82,M,25,17,48380,1,2,17,1654
83,F,25,2,94609,0,2,2,3120
84,M,18,4,53140,1,1,4,1763
85,M,18,4,94945,1,1,4,3145
86,F,1,10,54467,0,0,10,1811
87,M,25,14,48360,1,2,14,1651
88,F,45,1,02476,0,4,1,147
89,F,56,9,85749,0,6,9,2681
90,M,56,13,85749,1,6,13,2681
91,M,35,7,07650,1,3,7,330
92,F,18,4,44243,0,1,4,1439
93,M,25,17,95825,1,2,17,3227
94,M,25,17,28601,1,2,17,1019
95,M,45,0,98201,1,4,0,3379
96,F,25,16,78028,0,2,16,2451
97,F,35,3,66210,0,3,3,2211
98,F,35,7,33547,0,3,7,1219
99,F,1,10,19390,0,0,10,750
100,M,35,17,95401,1,3,17,3191
101,F,18,3,33314,0,1,3,1207
102,M,35,19,20871,1,3,19,820
103,M,45,7,92104,1,4,7,2913
104,M,25,12,00926,1,2,12,5
105,M,45,12,90277,1,4,12,2786
106,F,35,11,79101,0,3,11,2505
107,M,45,18,63129,1,4,18,2153
108,M,25,12,30316,1,2,12,1092
109,M,45,15,92028,1,4,15,2899
110,M,25,2,90803,1,2,2,2814
111,M,35,15,55416,1,3,15,1911
112,M,25,16,97209,1,2,16,3286
113,M,18,12,37032,1,1,12,1279
114,F,25,2,83712,0,2,2,2600
115,M,25,17,28083,1,2,17,1003
116,M,25,17,55744,1,2,17,1942
117,M,25,17,33314,1,2,17,1207
118,M,35,17,22315,1,3,17,892
119,F,1,10,77515,0,0,10,2433
120,M,25,11,27106,1,2,11,965
121,M,35,7,75229,1,3,7,2355
122,F,18,4,94305,0,1,4,3077
123,M,35,9,67208,1,3,9,2221
124,M,56,7,91356,1,6,7,2848
125,M,45,14,01701,1,4,14,44
126,M,18,9,98117,1,1,9,3362
127,F,45,3,01770,0,4,3,53
128,M,56,6,37922,1,6,6,1313
129,M,25,11,20164,1,2,11,792
130,M,35,17,50021,1,3,17,1720
131,M,18,4,06520,1,1,4,289
132,M,25,17,99709,1,2,17,3435
133,F,25,0,55071,0,2,0,1841
134,M,25,0,66212,1,2,0,2212
135,M,18,4,20006,1,1,4,775
136,M,18,2,21202,1,1,2,847
137,F,45,6,78758,0,4,6,2499
138,M,18,20,22203,1,1,20,878
139,F,25,20,45409,0,2,20,1508
140,F,35,1,55107,0,3,1,1854
141,M,35,13,62035,1,3,13,2120
142,M,25,7,10011,1,2,7,405
143,M,18,3,64043,1,1,3,2169
144,M,25,17,29401,1,2,17,1036
145,M,18,4,19081,1,1,4,715
146,F,35,20,10954,0,3,20,456
147,M,18,4,91360,1,1,4,2849
148,M,50,17,57747,1,5,17,1973
149,M,25,1,29205,1,2,1,1032
150,M,35,7,98144,1,3,7,3371
151,F,25,20,85013,0,2,20,2632
