,Title,Genres,Title_enc,Genres_enc
1,Toy Story (1995),Animation|Children's|Comedy,3574,145
2,Jumanji (1995),Adventure|Children's|Fantasy,1858,115
3,Grumpier Old Men (1995),Comedy|Romance,1483,207
4,Waiting to Exhale (1995),Comedy|Drama,3716,185
5,Father of the Bride Part II (1995),Comedy,1177,176
6,Heat (1995),Action|Crime|Thriller,1562,63
7,Sabrina (1995),Comedy|Romance,3011,207
8,Tom and Huck (1995),Adventure|Children's,3550,106
9,Sudden Death (1995),Action,3362,0
10,GoldenEye (1995),Action|Adventure|Thriller,1424,37
11,"American President, The (1995)",Comedy|Drama|Romance,139,187
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1013,196
13,Balto (1995),Animation|Children's,282,144
14,Nixon (1995),Drama,2504,239
15,Cutthroat Island (1995),Action|Adventure|Romance,855,29
16,Casino (1995),Drama|Thriller,630,260
17,Sense and Sensibility (1995),Drama|Romance,3071,252
18,Four Rooms (1995),Thriller,1276,298
19,Ace Ventura: When Nature Calls (1995),Comedy,45,176
20,Money Train (1995),Action,2319,0
21,Get Shorty (1995),Action|Comedy|Drama,1367,47
22,Copycat (1995),Crime|Drama|Thriller,794,225
23,Assassins (1995),Thriller,223,298
24,Powder (1995),Drama|Sci-Fi,2762,258
25,Leaving Las Vegas (1995),Drama|Romance,1991,252
26,Othello (1995),Drama,2596,239
27,Now and Then (1995),Drama,2526,239
28,Persuasion (1995),Romance,2675,290
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,717,138
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,3112,239
31,Dangerous Minds (1995),Drama,877,239
32,Twelve Monkeys (1995),Drama|Sci-Fi,3618,258
33,Wings of Courage (1995),Adventure|Romance,3815,136
34,Babe (1995),Children's|Comedy|Drama,251,161
35,Carrington (1995),Drama|Romance,628,252
36,Dead Man Walking (1995),Drama,900,239
37,Across the Sea of Time (1995),Documentary,48,235
38,It Takes Two (1995),Comedy,1798,176
39,Clueless (1995),Comedy|Romance,742,207
40,"Cry, the Beloved Country (1995)",Drama,844,239
41,Richard III (1995),Drama|War,2926,262
42,Dead Presidents (1995),Action|Crime|Drama,904,57
43,Restoration (1995),Drama,2909,239
44,Mortal Kombat (1995),Action|Adventure,2333,1
45,To Die For (1995),Comedy|Drama,3540,185
46,How to Make an American Quilt (1995),Drama|Romance,1672,252
47,Seven (Se7en) (1995),Crime|Thriller,3078,234
48,Pocahontas (1995),Animation|Children's|Musical|Romance,2726,153
49,When Night Is Falling (1995),Drama|Romance,3772,252
50,"Usual Suspects, The (1995)",Crime|Thriller,3676,234
51,Guardian Angel (1994),Action|Drama|Thriller,1486,71
